date,exchange_rate
2009-01-17,0
2009-01-20,0
2009-03-27,0
2011-05-29,8.68
2011-06-01,9.47
2011-06-04,15.05
2011-06-07,19.19
2014-06-03,662
2014-06-06,661.48
2014-06-09,657.11
2014-06-12,624.97
2014-06-15,572.28
2021-07-14,32686.56
2021-07-17,31421.25
2021-07-20,30815.94
2021-07-23,32297.89
2021-07-26,35365.2
2021-07-29,40002.53
2021-08-01,41659.06
2021-08-04,38138
